Image,CellID,MajorAxisLength,MinorAxisLength
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,1,82.06814575195312,81.93756103515625
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,2,101.095703125,95.887451171875
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,3,100.72877502441406,99.6392822265625
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,4,104.3529052734375,92.12167358398438
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,5,106.5341796875,90.887451171875
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,6,92.078125,89.39453125
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,7,102.38446044921875,91.24612426757812
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,8,99.0948486328125,85.9940185546875
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,9,108.30174255371094,95.267333984375
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,10,91.6422119140625,90.8526611328125
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,11,86.22689819335938,83.0455322265625
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,12,101.20947265625,98.046875
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,13,99.82437133789062,99.3743896484375
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,14,79.22831726074219,76.065185546875
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,15,91.1734619140625,76.67138671875
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,16,88.519775390625,80.4013671875
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,17,74.75640869140625,74.5074462890625
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,18,102.94113159179688,95.8612060546875
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,19,87.29388427734375,70.98403930664062
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,20,96.75201416015625,94.014404296875
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,21,84.72186279296875,75.69549560546875
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,22,107.43562316894531,92.85549926757812
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,23,118.83013916015625,113.1304931640625
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,24,81.954345703125,76.68194580078125
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,25,99.522705078125,97.29400634765625
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,26,104.058837890625,101.34866333007812
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,27,101.888427734375,93.54730224609375
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,28,80.85205078125,80.74566650390625
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,29,96.3597412109375,89.82659912109375
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,30,97.44789123535156,96.39349365234375
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,31,82.30377197265625,80.6036376953125
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,32,96.794677734375,93.177490234375
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,33,95.31147766113281,90.3983154296875
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,34,101.9024658203125,93.56201171875
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,35,87.3465576171875,79.6824951171875
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,36,97.59074401855469,94.03662109375
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,37,97.9888916015625,88.7813720703125
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,38,87.00286865234375,81.5
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,39,84.4189453125,83.73382568359375
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,40,76.2020263671875,74.28939819335938
00d04a90-80e5-4bce-9511-1b64eabb7a47.png,41,79.97174072265625,79.2867431640625
